date,product,stock
2026-08-18,Wireless Earbuds,46
2026-08-18,Phone Cases,320
2026-08-18,Charging Cables,501
2026-08-18,Bluetooth Speakers,129
2026-08-19,Wireless Earbuds,46
2026-08-19,Phone Cases,322
2026-08-19,Charging Cables,499
2026-08-19,Bluetooth Speakers,129
2026-08-20,Wireless Earbuds,46
2026-08-20,Phone Cases,321
2026-08-20,Charging Cables,500
2026-08-20,Bluetooth Speakers,131
2026-08-21,Wireless Earbuds,47
2026-08-21,Phone Cases,321
2026-08-21,Charging Cables,500
2026-08-21,Bluetooth Speakers,133
2026-08-22,Wireless Earbuds,46
2026-08-22,Phone Cases,317
2026-08-22,Charging Cables,502
2026-08-22,Bluetooth Speakers,130
2026-08-23,Wireless Earbuds,46
2026-08-23,Phone Cases,321
2026-08-23,Charging Cables,498
2026-08-23,Bluetooth Speakers,129
2026-08-24,Wireless Earbuds,44
2026-08-24,Phone Cases,319
2026-08-24,Charging Cables,500
2026-08-24,Bluetooth Speakers,130
2026-08-25,Wireless Earbuds,46
2026-08-25,Phone Cases,318
2026-08-25,Charging Cables,497
2026-08-25,Bluetooth Speakers,130
2026-08-26,Wireless Earbuds,46
2026-08-26,Phone Cases,320
2026-08-26,Charging Cables,501
2026-08-26,Bluetooth Speakers,130
2026-08-27,Wireless Earbuds,47
2026-08-27,Phone Cases,320
2026-08-27,Charging Cables,500
2026-08-27,Bluetooth Speakers,129
2026-08-28,Wireless Earbuds,46
2026-08-28,Phone Cases,320
2026-08-28,Charging Cables,501
2026-08-28,Bluetooth Speakers,130
2026-08-29,Wireless Earbuds,46
2026-08-29,Phone Cases,320
2026-08-29,Charging Cables,500
2026-08-29,Bluetooth Speakers,131
2026-08-30,Wireless Earbuds,44
2026-08-30,Phone Cases,319
2026-08-30,Charging Cables,498
2026-08-30,Bluetooth Speakers,127
2026-08-31,Wireless Earbuds,45
2026-08-31,Phone Cases,321
2026-08-31,Charging Cables,500
2026-08-31,Bluetooth Speakers,130
