date,product,quantity,revenue
2026-06-03,Wireless Earbuds,17,509.83
2026-06-03,Phone Cases,25,374.75
2026-06-03,Charging Cables,40,399.6
2026-06-03,Bluetooth Speakers,8,399.92
2026-06-04,Wireless Earbuds,14,419.86
2026-06-04,Phone Cases,24,359.76
2026-06-04,Charging Cables,38,379.62
2026-06-04,Bluetooth Speakers,7,349.93
2026-06-05,Wireless Earbuds,21,629.79
2026-06-05,Phone Cases,31,464.69
2026-06-05,Charging Cables,50,499.5
2026-06-05,Bluetooth Speakers,10,499.9
2026-06-06,Wireless Earbuds,21,629.79
2026-06-06,Phone Cases,38,569.62
2026-06-06,Charging Cables,48,479.52
2026-06-06,Bluetooth Speakers,8,399.92
2026-06-07,Wireless Earbuds,22,659.78
2026-06-07,Phone Cases,31,464.69
2026-06-07,Charging Cables,50,499.5
2026-06-07,Bluetooth Speakers,9,449.91
2026-06-08,Wireless Earbuds,17,509.83
2026-06-08,Phone Cases,26,389.74
2026-06-08,Charging Cables,42,419.58
2026-06-08,Bluetooth Speakers,7,349.93
2026-06-09,Wireless Earbuds,17,509.83
2026-06-09,Phone Cases,27,404.73
2026-06-09,Charging Cables,39,389.61
2026-06-09,Bluetooth Speakers,8,399.92
2026-06-10,Wireless Earbuds,18,539.82
2026-06-10,Phone Cases,29,434.71
2026-06-10,Charging Cables,46,459.54
2026-06-10,Bluetooth Speakers,7,349.93
2026-06-11,Wireless Earbuds,17,509.83
2026-06-11,Phone Cases,26,389.74
2026-06-11,Charging Cables,39,389.61
2026-06-11,Bluetooth Speakers,8,399.92
2026-06-12,Wireless Earbuds,21,629.79
2026-06-12,Phone Cases,31,464.69
2026-06-12,Charging Cables,42,419.58
2026-06-12,Bluetooth Speakers,10,499.9
2026-06-13,Wireless Earbuds,23,689.77
2026-06-13,Phone Cases,36,539.64
2026-06-13,Charging Cables,42,419.58
2026-06-13,Bluetooth Speakers,9,449.91
2026-06-14,Wireless Earbuds,22,659.78
2026-06-14,Phone Cases,35,524.65
2026-06-14,Charging Cables,49,489.51
2026-06-14,Bluetooth Speakers,9,449.91
2026-06-15,Wireless Earbuds,19,569.81
2026-06-15,Phone Cases,28,419.72
2026-06-15,Charging Cables,38,379.62
2026-06-15,Bluetooth Speakers,8,399.92
2026-06-16,Wireless Earbuds,15,449.85
2026-06-16,Phone Cases,27,404.73
2026-06-16,Charging Cables,35,349.65
2026-06-16,Bluetooth Speakers,7,349.93
2026-06-17,Wireless Earbuds,17,509.83
2026-06-17,Phone Cases,32,479.68
2026-06-17,Charging Cables,34,339.66
2026-06-17,Bluetooth Speakers,8,399.92
2026-06-18,Wireless Earbuds,15,449.85
2026-06-18,Phone Cases,27,404.73
2026-06-18,Charging Cables,38,379.62
2026-06-18,Bluetooth Speakers,8,399.92
2026-06-19,Wireless Earbuds,24,719.76
2026-06-19,Phone Cases,37,554.63
2026-06-19,Charging Cables,44,439.56
2026-06-19,Bluetooth Speakers,8,399.92
2026-06-20,Wireless Earbuds,24,719.76
2026-06-20,Phone Cases,34,509.66
2026-06-20,Charging Cables,40,399.6
2026-06-20,Bluetooth Speakers,8,399.92
2026-06-21,Wireless Earbuds,20,599.8
2026-06-21,Phone Cases,36,539.64
2026-06-21,Charging Cables,46,459.54
2026-06-21,Bluetooth Speakers,9,449.91
2026-06-22,Wireless Earbuds,18,539.82
2026-06-22,Phone Cases,28,419.72
2026-06-22,Charging Cables,39,389.61
2026-06-22,Bluetooth Speakers,7,349.93
2026-06-23,Wireless Earbuds,19,569.81
2026-06-23,Phone Cases,26,389.74
2026-06-23,Charging Cables,36,359.64
2026-06-23,Bluetooth Speakers,7,349.93
2026-06-24,Wireless Earbuds,16,479.84
2026-06-24,Phone Cases,29,434.71
2026-06-24,Charging Cables,35,349.65
2026-06-24,Bluetooth Speakers,7,349.93
2026-06-25,Wireless Earbuds,19,569.81
2026-06-25,Phone Cases,29,434.71
2026-06-25,Charging Cables,39,389.61
2026-06-25,Bluetooth Speakers,7,349.93
2026-06-26,Wireless Earbuds,22,659.78
2026-06-26,Phone Cases,34,509.66
2026-06-26,Charging Cables,38,379.62
2026-06-26,Bluetooth Speakers,7,349.93
2026-06-27,Wireless Earbuds,20,599.8
2026-06-27,Phone Cases,31,464.69
2026-06-27,Charging Cables,47,469.53
2026-06-27,Bluetooth Speakers,8,399.92
2026-06-28,Wireless Earbuds,22,659.78
2026-06-28,Phone Cases,39,584.61
2026-06-28,Charging Cables,43,429.57
2026-06-28,Bluetooth Speakers,9,449.91
2026-06-29,Wireless Earbuds,17,509.83
2026-06-29,Phone Cases,27,404.73
2026-06-29,Charging Cables,33,329.67
2026-06-29,Bluetooth Speakers,7,349.93
2026-06-30,Wireless Earbuds,21,629.79
2026-06-30,Phone Cases,23,344.77
2026-06-30,Charging Cables,38,379.62
2026-06-30,Bluetooth Speakers,7,349.93
2026-07-01,Wireless Earbuds,18,539.82
2026-07-01,Phone Cases,24,359.76
2026-07-01,Charging Cables,37,369.63
2026-07-01,Bluetooth Speakers,7,349.93
2026-07-02,Wireless Earbuds,20,599.8
2026-07-02,Phone Cases,28,419.72
2026-07-02,Charging Cables,43,429.57
2026-07-02,Bluetooth Speakers,7,349.93
2026-07-03,Wireless Earbuds,21,629.79
2026-07-03,Phone Cases,35,524.65
